purchase_id,user_id,amount,purchase_date,product
1,USR-032,$111.05,05/04/2025,Dark
2,9,$363.06,"January 26, 2025",Yard
3,USR-037,$290.22,2024-12-27,Smile
4,16,$393.39,01/13/2026,Power
5,USR-027,$99.25,"May 15, 2025",Into
6,7,$331.2,2025-04-29,A
7,USR-023,$214.67,11/02/2024,Develop
8,30,$432.6,"February 02, 2025",Particularly
9,USR-004,$338.32,2025-06-11,Fund
10,7,$35.0,02/27/2025,Letter
11,USR-022,$401.29,"July 31, 2025",Much
12,7,$128.08,2025-03-05,Wear
13,USR-013,$270.46,02/24/2026,Simply
14,9,,"July 27, 2024",Become
15,USR-018,$234.0,2024-10-18,Record
16,5,$224.35,06/30/2025,Government
17,USR-036,$53.46,"June 01, 2024",Society
18,35,$418.83,2024-09-12,Force
19,USR-006,$463.55,09/05/2024,Decide
20,16,$87.32,"July 10, 2024",Any
21,USR-032,$243.27,2024-09-19,May
22,26,$451.71,06/14/2025,Special
23,USR-011,$192.59,"May 17, 2024",Join
24,25,$136.28,2026-01-01,Parent
25,USR-030,$146.2,08/14/2024,Same
26,36,$332.63,"December 30, 2024",Instead
27,USR-032,$81.62,2024-09-19,Reality
28,19,$112.76,08/09/2025,Walk
29,USR-004,$291.69,"September 24, 2025",Speech
30,35,$35.17,2026-01-01,Start
31,USR-021,$33.3,01/29/2025,Control
32,31,$253.91,"November 02, 2025",Safe
33,USR-034,$82.93,2025-04-07,Apply
34,33,$44.66,05/06/2025,Whose
35,USR-012,$38.92,"December 05, 2025",Loss
36,5,$339.23,2024-06-30,Majority
37,USR-016,$204.87,07/25/2025,Operation
38,37,$126.88,"June 03, 2025",Someone
39,USR-003,$311.59,2026-01-05,Position
40,27,$330.4,11/10/2025,Wait
41,USR-037,,"March 28, 2025",Then
42,17,$106.11,2026-01-16,Like
43,USR-021,$123.15,01/09/2026,Six
44,26,,"December 14, 2025",Listen
45,USR-020,$231.33,2024-09-30,End
46,5,$9.61,11/28/2025,Factor
47,USR-037,$498.07,"October 05, 2025",Near
48,5,$271.13,2025-03-14,Edge
49,USR-033,$136.27,10/11/2024,Bank
50,23,$441.03,"August 28, 2025",Easy
51,USR-016,$187.92,2024-10-09,Front
52,11,$221.9,01/06/2026,Be
53,USR-035,$353.25,"July 04, 2024",During
54,34,$8.87,2024-12-29,Claim
55,USR-036,,08/23/2025,Attack
56,7,$469.77,"January 22, 2025",Give
57,USR-009,$135.91,2025-04-25,Just
58,7,$372.5,05/09/2024,There
59,USR-010,$139.81,"January 26, 2025",West
60,14,$360.22,2025-10-08,Young
